area,state,lat,lon,match_type
Amravati,Maharashtra,20.9333,77.75,exact
Imphal,Manipur,24.82,93.95,exact
Ahmedabad,Gujarat,23.03,72.58,fuzzy_same_state
Dehradun,Uttarakhand,30.318,78.029,fuzzy_same_state
Ulhasnagar,Maharashtra,19.2167,73.15,exact
Tirupati,Andhra Pradesh,13.65,79.42,exact
Thane,Maharashtra,19.18,72.9633,exact
Raipur,Chhattisgarh,21.2379,81.6337,exact
Jabalpur,Madhya Pradesh,23.1667,79.9333,exact
Meerut,Uttar Pradesh,28.99,77.7,exact
Ghaziabad,Uttar Pradesh,28.6667,77.4167,exact
Chennai,Tamil Nadu,13.0825,80.275,exact
Kalyan,Maharashtra,19.2502,73.1602,exact
Bhubaneswar,Odisha,20.2644,85.8281,fuzzy_same_state
Jodhpur,Rajasthan,26.2918,73.0168,exact
Pali,Rajasthan,25.7725,73.3233,exact
Sikar,Rajasthan,27.6119,75.1397,exact
Jalandhar,Punjab,31.3256,75.5792,exact
Patiala,Punjab,30.3204,76.385,exact
Bhilwara,Rajasthan,25.35,74.6333,exact
Agra,Uttar Pradesh,27.18,78.02,exact
Kota,Rajasthan,25.18,75.83,exact
Bharatpur,Rajasthan,27.2172,77.49,exact
Aizawl,Mizoram,23.7104,92.72,exact
Gandhi Nagar,Gujarat,23.22,72.68,fuzzy_same_state
Ujjain,Madhya Pradesh,23.1828,75.7772,exact
Salem,Tamil Nadu,11.65,78.1667,exact
Davanagere,Karnataka,14.4667,75.9167,fuzzy_same_state
Coimbatore,Tamil Nadu,11.0,76.9667,exact
Parbhani,Maharashtra,19.2704,76.76,exact
Chandigarh,Chandigarh,30.7353,76.7911,exact
Bareilly,Uttar Pradesh,28.364,79.415,exact
Firozabad,Uttar Pradesh,27.15,78.3949,exact
Aurangabad,Bihar,19.88,75.32,exact
Guwahati,Assam,26.1667,91.7667,exact
Kolkata,West Bengal,22.5411,88.3378,exact
Hyderabad,Telangana,17.3667,78.4667,exact
Puducherry,Puducherry,11.93,79.83,exact
Bengaluru,Karnataka,12.9716,77.5946,exact
Latur,Maharashtra,18.4004,76.57,exact
Solapur,Maharashtra,17.6833,75.9167,exact
Jhansi,Uttar Pradesh,25.4486,78.5696,exact
Muzaffarpur,Bihar,26.12,85.3833,exact
Siliguri,West Bengal,26.72,88.42,fuzzy_same_state
Ratlam,Madhya Pradesh,23.3167,75.0667,exact
Ludhiana,Punjab,30.9083,75.8486,exact
Nagpur,Maharashtra,21.1539,79.0831,exact
Shillong,Meghalaya,25.5744,91.8789,exact
Aurangabad,Maharashtra,19.88,75.32,exact
Tiruppur,Tamil Nadu,11.1075,77.3398,exact
Akola,Maharashtra,20.7333,77.0,exact
Udaipur,Rajasthan,24.5833,73.6833,exact
Hapur,Uttar Pradesh,28.7437,77.7628,exact
Dhanbad,Jharkhand,23.7928,86.435,exact
Belgaum,Karnataka,15.8667,74.5,exact
Surat,Gujarat,21.17,72.83,exact
Asansol,West Bengal,23.6833,86.9667,exact
Visakhapatnam,Andhra Pradesh,17.7333,83.3167,exact
Gorakhpur,Uttar Pradesh,26.7611,83.3667,exact
Bhiwandi,Maharashtra,19.3,73.0667,exact
Begusarai,Bihar,25.42,86.13,exact
Mumbai,Maharashtra,18.9667,72.8333,exact
Anantapur,Andhra Pradesh,14.6833,77.6,exact
Kolhapur,Maharashtra,16.7,74.2333,exact
Bikaner,Rajasthan,28.0181,73.3169,exact
Madurai,Tamil Nadu,9.9197,78.1194,exact
Indore,Madhya Pradesh,22.7206,75.8472,exact
Muzaffarnagar,Uttar Pradesh,29.4708,77.7033,exact
Jaipur,Rajasthan,26.9167,75.8667,exact
Malegaon,Maharashtra,20.55,74.55,exact
Bhopal,Madhya Pradesh,23.25,77.4167,exact
Rourkela,Odisha,22.2492,84.8828,fuzzy_same_state
Gwalior,Madhya Pradesh,26.215,78.1931,exact
Ahmednagar,Maharashtra,19.0833,74.7333,fuzzy_same_state
Moradabad,Uttar Pradesh,28.8418,78.7568,exact
Lucknow,Uttar Pradesh,26.847,80.947,exact
Ajmer,Rajasthan,26.468,74.639,exact
Gaya,Bihar,24.75,85.0167,exact
Jalgaon,Maharashtra,21.0167,75.5667,exact
Bhilai,Chhattisgarh,21.2167,81.4333,exact
Pune,Maharashtra,18.5196,73.8553,exact
Kohima,Nagaland,25.6667,94.1194,exact
Bhagalpur,Bihar,25.25,87.0167,exact
Agartala,Tripura,23.8333,91.2667,exact
Nanded,Maharashtra,19.15,77.3333,exact
Varanasi,Uttar Pradesh,25.3189,83.0128,exact
Nashik,Maharashtra,20.0,73.7833,exact
Delhi,Delhi,28.66,77.23,exact
Cuttack,Odisha,20.45,85.8667,exact
Sangli,Maharashtra,16.8667,74.5667,exact
Durgapur,West Bengal,23.55,87.32,exact
Patna,Bihar,25.61,85.1414,exact
Thiruvananthapuram,Kerala,8.5,76.8997,exact
Alwar,Rajasthan,27.5667,76.6167,exact
Bidar,Karnataka,17.9229,77.5175,exact
Bilaspur,Chhattisgarh,22.15,82.0167,exact
Mangalore,Karnataka,12.8703,74.8806,exact
Amritsar,Punjab,31.6167,74.85,exact
Gangtok,Sikkim,27.33,88.62,exact
Tumakuru,Karnataka,13.33,77.1,fuzzy_same_state
Faridabad,Haryana,28.4333,77.3167,exact
Raichur,Karnataka,16.2104,77.355,exact
Panchkula,Haryana,30.6915,76.8537,exact
Rohtak,Haryana,28.9,76.5667,exact
Sonipat,Haryana,28.9958,77.0114,exact
Karnal,Haryana,29.6804,76.97,exact
Panipat,Haryana,29.4004,76.97,exact
Hisar,Haryana,29.1489,75.7367,exact
Kochi,Kerala,9.9667,76.2833,exact
Srinagar,Jammu and Kashmir,34.0911,74.8061,exact
