area,state
Purnia,Bihar
Katni,Madhya Pradesh
Tumidih,Chhattisgarh
Byrnihat,Assam
Kollam,Kerala
Barrackpore,West Bengal
Nayagarh,Odisha
Nalbari,Assam
Hubballi,Karnataka
Chengalpattu,Tamil Nadu
Dindigul,Tamil Nadu
Kadapa,Andhra Pradesh
Rishikesh,Uttarakhand
Ranipet,Tamil Nadu
Samastipur,Bihar
Kishanganj,Bihar
Saharsa,Bihar
Yadgir,Karnataka
Dungarpur,Rajasthan
Sawai Madhopur,Rajasthan
Pithampur,Madhya Pradesh
Kanpur,Uttar Pradesh
Nagaur,Rajasthan
Chittoor,Andhra Pradesh
Mira Bhayandar,Maharashtra
Churu,Rajasthan
Katihar,Bihar
Balasore,Odisha
Tirumala,Andhra Pradesh
Angul,Odisha
Pimpri Chinchwad,Maharashtra
Vatva,Gujarat
Chamarajanagar,Karnataka
Jaisalmer,Rajasthan
Keonjhar,Odisha
Chittorgarh,Rajasthan
Chikkaballapur,Karnataka
Arrah,Bihar
Chikkamagaluru,Karnataka
Dausa,Rajasthan
Kunjemura,Chhattisgarh
Motihari,Bihar
Vijayawada,Andhra Pradesh
Thoothukudi,Tamil Nadu
NOIDA,Uttar Pradesh
Vrindavan,Uttar Pradesh
Bagalkot,Karnataka
Cuddalore,Tamil Nadu
Barmer,Rajasthan
Tonk,Rajasthan
Baran,Rajasthan
Korba,Chhattisgarh
Rajsamand,Rajasthan
Greater Noida,Uttar Pradesh
Pratapgarh,Rajasthan
Jalna,Maharashtra
Dhule,Maharashtra
Khurja,Uttar Pradesh
Bundi,Rajasthan
Howrah,West Bengal
Silchar,Assam
Thrissur,Kerala
Bettiah,Bihar
Thanjavur,Tamil Nadu
Bulandshahr,Uttar Pradesh
Haldia,West Bengal
Talcher,Odisha
Baddi,Himachal Pradesh
Kalaburagi,Karnataka
Araria,Bihar
Belapur,Maharashtra
Manguraha,Bihar
Bathinda,Punjab
Ramanathapuram,Tamil Nadu
Namakkal,Tamil Nadu
Madikeri,Karnataka
Dharwad,Karnataka
Rajamahendravaram,Andhra Pradesh
Jhunjhunu,Rajasthan
Baghpat,Uttar Pradesh
Gurugram,Haryana
Sirohi,Rajasthan
Nagapattinam,Tamil Nadu
Prayagraj,Uttar Pradesh
Byasanagar,Odisha
Boisar,Maharashtra
Hosur,Tamil Nadu
Siwan,Bihar
Khanna,Punjab
Naharlagun,Arunachal Pradesh
Jalore,Rajasthan
Dholpur,Rajasthan
Kanchipuram,Tamil Nadu
Sagar,Madhya Pradesh
Virar,Maharashtra
Hajipur,Bihar
Nagaon,Assam
Kashipur,Uttarakhand
Pudukottai,Tamil Nadu
Munger,Bihar
Karauli,Rajasthan
Buxar,Bihar
Chandrapur,Maharashtra
Palkalaiperur,Tamil Nadu
Sri Ganganagar,Rajasthan
Navi Mumbai,Maharashtra
Jhalawar,Rajasthan
Suakati,Odisha
Tirunelveli,Tamil Nadu
Gummidipoondi,Tamil Nadu
Mahad,Maharashtra
Eloor,Kerala
Sivasagar,Assam
Ariyalur,Tamil Nadu
Shivamogga,Karnataka
Dewas,Madhya Pradesh
Banswara,Rajasthan
Panchgaon,Haryana
Badlapur,Maharashtra
Baripada,Odisha
Damoh,Madhya Pradesh
Ooty,Tamil Nadu
Ramanagara,Karnataka
Koppal,Karnataka
Sasaram,Bihar
Ankleshwar,Gujarat
Singrauli,Madhya Pradesh
Brajrajnagar,Odisha
Barbil,Odisha
Vapi,Gujarat
Rajgir,Bihar
Mandideep,Madhya Pradesh
Rairangpur,Odisha
Tiruchirappalli,Tamil Nadu
Sri Vijaya Puram,Andaman and Nicobar Islands
Tensa,Odisha
Mysuru,Karnataka
Haveri,Karnataka
Chhapra,Bihar
Kannur,Kerala
Chhal,Chhattisgarh
Hanumangarh,Rajasthan
Mandi Gobindgarh,Punjab
Milupara,Chhattisgarh
Gadag,Karnataka
Virudhunagar,Tamil Nadu
Bileipada,Odisha
Maihar,Madhya Pradesh
Satna,Madhya Pradesh
Rupnagar,Punjab
Karur,Tamil Nadu
Bihar Sharif,Bihar
Nandesari,Gujarat
Charkhi Dadri,Haryana
Karwar,Karnataka
Hassan,Karnataka
Kolar,Karnataka
Udupi,Karnataka
Vijayapura,Karnataka
Jorapokhar,Jharkhand
Palwal,Haryana
Ballabgarh,Haryana
Yamunanagar,Haryana
Kaithal,Haryana
Ambala,Haryana
Manesar,Haryana
Fatehabad,Haryana
Kurukshetra,Haryana
Mandikhera,Haryana
Sirsa,Haryana
Dharuhera,Haryana
Jind,Haryana
Bahadurgarh,Haryana
Narnaul,Haryana
Pathardih,Jharkhand
Kozhikode,Kerala
Darbhanga,Bihar
Ernakulam,Kerala
